Vardas     Pavarde    ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas106 Pavarde106 3 6 1 7 2 4
Vardas107 Pavarde107 9 2 6 7 10 2
Vardas108 Pavarde108 5 2 3 5 6 6
Vardas109 Pavarde109 9 4 3 9 4 7
Vardas110 Pavarde110 2 5 10 10 4 9
Vardas111 Pavarde111 7 8 8 3 5 2
Vardas112 Pavarde112 5 5 8 9 1 3
Vardas113 Pavarde113 5 1 9 10 4 6
Vardas114 Pavarde114 3 2 5 8 2 3
Vardas115 Pavarde115 5 5 6 10 7 8
Vardas116 Pavarde116 9 10 10 6 3 6
Vardas117 Pavarde117 6 9 1 4 6 9
Vardas118 Pavarde118 5 3 10 9 8 4
Vardas119 Pavarde119 2 8 3 8 7 5
Vardas120 Pavarde120 4 4 10 6 2 9
Vardas121 Pavarde121 3 4 6 9 9 9
Vardas122 Pavarde122 7 1 4 6 10 5
Vardas123 Pavarde123 1 5 4 8 7 9
Vardas124 Pavarde124 2 7 6 8 10 8
Vardas125 Pavarde125 3 5 9 7 2 5
Vardas126 Pavarde126 6 10 5 5 4 10
Vardas127 Pavarde127 4 3 10 7 5 8
Vardas128 Pavarde128 8 2 4 8 7 5
Vardas129 Pavarde129 7 8 5 5 6 3
Vardas130 Pavarde130 3 2 2 10 5 4
Vardas131 Pavarde131 2 1 7 1 9 10
Vardas132 Pavarde132 1 6 6 5 8 6
Vardas133 Pavarde133 2 4 8 4 7 4
Vardas134 Pavarde134 9 6 5 5 8 2
Vardas135 Pavarde135 2 4 7 4 9 7
Vardas136 Pavarde136 1 1 5 1 8 10
Vardas137 Pavarde137 4 6 8 7 6 6
Vardas138 Pavarde138 2 8 4 5 1 5
Vardas139 Pavarde139 5 3 1 6 5 8
Vardas140 Pavarde140 1 4 3 7 1 8
Vardas141 Pavarde141 2 1 7 1 8 6
Vardas142 Pavarde142 2 9 1 10 6 1
Vardas143 Pavarde143 3 2 8 6 10 8
Vardas144 Pavarde144 4 10 9 7 2 6
Vardas145 Pavarde145 5 2 2 5 2 5
Vardas146 Pavarde146 4 6 4 3 8 6
Vardas147 Pavarde147 3 8 2 9 5 5
Vardas148 Pavarde148 9 5 5 2 5 7
Vardas149 Pavarde149 10 9 8 6 9 6
Vardas150 Pavarde150 6 5 4 3 4 4
Vardas151 Pavarde151 7 7 4 4 3 8
Vardas152 Pavarde152 4 5 7 1 7 9
Vardas153 Pavarde153 8 6 2 6 7 10
Vardas154 Pavarde154 9 5 1 9 2 3
Vardas155 Pavarde155 5 1 7 8 8 7
Vardas156 Pavarde156 4 8 4 5 1 1
Vardas157 Pavarde157 3 1 8 4 6 8
Vardas158 Pavarde158 2 1 6 3 10 8
Vardas159 Pavarde159 1 5 9 2 3 5
Vardas160 Pavarde160 7 9 1 4 2 2
Vardas161 Pavarde161 3 6 7 1 8 10
Vardas162 Pavarde162 7 10 1 5 7 10
Vardas163 Pavarde163 8 6 2 1 1 6
Vardas164 Pavarde164 9 1 8 6 4 1
Vardas165 Pavarde165 3 8 2 9 10 1
Vardas166 Pavarde166 2 7 5 10 4 4
Vardas167 Pavarde167 10 4 8 2 5 6
Vardas168 Pavarde168 9 3 6 7 9 4
Vardas169 Pavarde169 7 5 7 5 3 1
Vardas170 Pavarde170 4 9 4 7 9 3
Vardas171 Pavarde171 2 3 8 7 2 8
Vardas172 Pavarde172 5 3 1 2 10 4
Vardas173 Pavarde173 3 8 8 5 6 7
Vardas174 Pavarde174 10 6 3 2 10 10
Vardas175 Pavarde175 8 2 8 7 9 10
Vardas176 Pavarde176 4 6 5 1 8 6
Vardas177 Pavarde177 7 1 1 1 10 10
Vardas178 Pavarde178 10 1 1 4 5 1
Vardas179 Pavarde179 8 10 10 8 4 4
Vardas180 Pavarde180 2 8 2 10 7 10
Vardas181 Pavarde181 9 2 4 5 4 8
Vardas182 Pavarde182 4 6 7 10 5 1
Vardas183 Pavarde183 6 9 2 1 8 1
Vardas184 Pavarde184 4 4 10 7 2 3
Vardas185 Pavarde185 8 3 2 9 3 3
Vardas186 Pavarde186 2 7 9 7 3 1
Vardas187 Pavarde187 1 9 8 3 2 8
Vardas188 Pavarde188 9 7 1 1 10 2
Vardas189 Pavarde189 10 8 2 7 6 3
Vardas190 Pavarde190 4 1 8 9 3 5
Vardas191 Pavarde191 9 9 9 9 7 8
Vardas192 Pavarde192 8 7 5 5 4 3
Vardas193 Pavarde193 5 5 10 8 2 10
Vardas194 Pavarde194 6 1 3 3 7 9
Vardas195 Pavarde195 10 1 5 8 7 5
Vardas196 Pavarde196 10 10 8 8 9 1
Vardas197 Pavarde197 8 5 8 8 9 3
Vardas198 Pavarde198 2 10 2 8 7 10
Vardas199 Pavarde199 3 2 1 9 9 6
Vardas200 Pavarde200 3 1 10 5 7 7
Vardas201 Pavarde201 4 3 10 6 5 8
Vardas202 Pavarde202 4 6 7 10 4 6
Vardas203 Pavarde203 6 5 6 10 5 5
Vardas204 Pavarde204 9 7 3 5 9 8
Vardas205 Pavarde205 1 2 4 5 9 7
Vardas206 Pavarde206 5 3 5 1 2 9
Vardas207 Pavarde207 9 2 9 6 7 7
Vardas208 Pavarde208 8 3 10 2 1 2
Vardas209 Pavarde209 7 3 3 4 10 2
Vardas210 Pavarde210 2 1 1 9 4 7
Vardas211 Pavarde211 10 6 10 4 6 4
Vardas212 Pavarde212 3 4 5 10 9 7
Vardas213 Pavarde213 9 3 2 10 6 10
Vardas214 Pavarde214 7 10 3 10 7 7
Vardas215 Pavarde215 8 6 4 8 9 1
Vardas216 Pavarde216 6 2 8 1 4 4
Vardas217 Pavarde217 6 7 4 2 4 7
Vardas218 Pavarde218 7 2 3 4 7 9
Vardas219 Pavarde219 2 2 1 3 3 6
Vardas220 Pavarde220 7 10 10 10 1 5
Vardas221 Pavarde221 3 5 6 4 1 1
Vardas222 Pavarde222 6 9 4 9 2 9
Vardas223 Pavarde223 5 7 7 8 6 4
Vardas224 Pavarde224 9 7 3 4 2 2
Vardas225 Pavarde225 9 1 9 8 4 6
Vardas226 Pavarde226 7 3 2 1 6 10
Vardas227 Pavarde227 2 9 6 10 1 7
Vardas228 Pavarde228 2 4 1 10 5 8
Vardas229 Pavarde229 9 5 5 4 2 3
Vardas230 Pavarde230 2 2 7 10 7 10
Vardas231 Pavarde231 6 4 10 2 10 2
Vardas232 Pavarde232 7 4 2 8 3 2
Vardas233 Pavarde233 3 1 2 1 4 6
Vardas234 Pavarde234 8 6 5 10 3 5
Vardas235 Pavarde235 10 5 2 6 3 5
Vardas236 Pavarde236 4 8 4 7 4 7
Vardas237 Pavarde237 9 1 7 9 5 1
Vardas238 Pavarde238 10 3 8 8 10 5
Vardas239 Pavarde239 10 6 6 4 7 1
Vardas240 Pavarde240 5 1 1 5 2 2
Vardas241 Pavarde241 3 10 4 2 3 9
Vardas242 Pavarde242 2 2 8 7 1 6
Vardas243 Pavarde243 9 9 2 9 3 10
Vardas244 Pavarde244 3 5 4 1 5 10
Vardas245 Pavarde245 7 10 6 3 6 3
Vardas246 Pavarde246 5 8 4 3 8 5
Vardas247 Pavarde247 10 2 4 2 1 10
Vardas248 Pavarde248 5 8 7 3 6 4
Vardas249 Pavarde249 2 4 8 8 8 8
Vardas250 Pavarde250 2 10 10 9 10 3
Vardas251 Pavarde251 1 4 10 3 8 3
Vardas252 Pavarde252 7 5 5 9 1 6
Vardas253 Pavarde253 2 3 8 2 9 4
Vardas254 Pavarde254 10 6 5 10 4 8
Vardas255 Pavarde255 10 1 8 9 4 7
Vardas256 Pavarde256 6 10 6 7 4 2
Vardas257 Pavarde257 5 7 8 5 9 4
Vardas258 Pavarde258 8 8 8 6 10 1
Vardas259 Pavarde259 6 3 5 5 10 5
Vardas260 Pavarde260 5 10 5 6 8 4
Vardas261 Pavarde261 10 9 3 1 5 8
Vardas262 Pavarde262 5 9 2 3 8 5
Vardas263 Pavarde263 6 1 2 8 6 3
Vardas264 Pavarde264 5 6 7 9 1 4
Vardas265 Pavarde265 10 6 3 4 2 7
Vardas266 Pavarde266 3 3 9 2 10 5
Vardas267 Pavarde267 6 8 9 1 5 7
Vardas268 Pavarde268 7 6 2 2 8 9
Vardas269 Pavarde269 1 9 1 2 6 5
Vardas270 Pavarde270 8 3 2 1 3 3
Vardas271 Pavarde271 1 4 3 8 8 7
Vardas272 Pavarde272 10 2 4 9 2 1
Vardas273 Pavarde273 8 6 2 10 8 3
Vardas274 Pavarde274 5 7 3 8 5 1
Vardas275 Pavarde275 8 9 8 5 5 3
Vardas276 Pavarde276 10 1 5 9 1 3
Vardas277 Pavarde277 8 1 4 7 3 9
Vardas278 Pavarde278 2 4 9 4 6 7
Vardas279 Pavarde279 5 9 9 8 10 1
Vardas280 Pavarde280 2 2 5 10 4 1
Vardas281 Pavarde281 5 4 6 10 3 2
Vardas282 Pavarde282 6 9 4 8 10 1
Vardas283 Pavarde283 3 6 1 8 4 8
Vardas284 Pavarde284 4 3 4 7 10 2
Vardas285 Pavarde285 2 10 6 9 6 3
Vardas286 Pavarde286 10 3 8 4 7 1
Vardas287 Pavarde287 1 8 7 5 9 3
Vardas288 Pavarde288 6 5 4 9 10 10
Vardas289 Pavarde289 1 1 10 10 5 6
Vardas290 Pavarde290 7 1 4 1 3 6
Vardas291 Pavarde291 7 7 9 8 8 1
Vardas292 Pavarde292 2 6 8 2 10 6
Vardas293 Pavarde293 3 1 6 9 2 3
Vardas294 Pavarde294 6 4 3 2 6 1
Vardas295 Pavarde295 1 7 3 5 9 6
Vardas296 Pavarde296 1 3 6 7 2 5
Vardas297 Pavarde297 10 6 1 3 8 3
Vardas298 Pavarde298 10 5 5 4 3 10
Vardas299 Pavarde299 9 1 4 10 4 8
Vardas300 Pavarde300 6 7 4 4 5 9
Vardas301 Pavarde301 5 4 8 1 7 9
Vardas302 Pavarde302 8 8 3 1 7 6
Vardas303 Pavarde303 4 4 9 10 8 4
Vardas304 Pavarde304 2 4 1 3 2 7
Vardas305 Pavarde305 4 10 2 6 2 7
Vardas306 Pavarde306 4 6 6 3 1 4
Vardas307 Pavarde307 10 1 7 3 2 2
Vardas308 Pavarde308 2 10 10 8 3 10
Vardas309 Pavarde309 2 7 4 5 2 6
Vardas310 Pavarde310 10 3 10 6 5 10
Vardas311 Pavarde311 3 9 8 5 2 3
Vardas312 Pavarde312 9 2 2 9 2 2
Vardas313 Pavarde313 4 3 10 10 1 7
Vardas314 Pavarde314 10 3 8 6 4 2
Vardas315 Pavarde315 4 3 6 1 9 10
Vardas316 Pavarde316 2 5 2 7 2 2
Vardas317 Pavarde317 5 8 1 10 6 7
Vardas318 Pavarde318 5 4 6 10 7 7
Vardas319 Pavarde319 3 2 1 6 5 6
Vardas320 Pavarde320 3 7 6 1 6 10
Vardas321 Pavarde321 10 8 4 3 10 3
Vardas322 Pavarde322 3 8 2 5 9 1
Vardas323 Pavarde323 3 1 10 10 3 10
Vardas324 Pavarde324 5 5 5 1 10 8
Vardas325 Pavarde325 5 3 3 6 1 5
Vardas326 Pavarde326 5 2 9 9 1 4
Vardas327 Pavarde327 8 9 5 10 6 9
Vardas328 Pavarde328 4 6 8 8 4 7
Vardas329 Pavarde329 8 2 10 8 6 8
Vardas330 Pavarde330 1 1 9 8 2 5
Vardas331 Pavarde331 1 8 3 7 7 2
Vardas332 Pavarde332 1 5 6 6 8 4
Vardas333 Pavarde333 1 7 8 2 1 2
Vardas334 Pavarde334 4 6 1 9 9 3
Vardas335 Pavarde335 3 3 2 8 5 7
Vardas336 Pavarde336 4 1 1 9 7 2
Vardas337 Pavarde337 8 7 1 8 6 7
Vardas338 Pavarde338 4 7 8 4 4 7
Vardas339 Pavarde339 1 10 7 8 8 3
Vardas340 Pavarde340 2 6 7 1 4 3
Vardas341 Pavarde341 7 2 6 3 10 10
Vardas342 Pavarde342 9 8 10 10 7 4
Vardas343 Pavarde343 3 7 4 10 3 1
Vardas344 Pavarde344 8 1 9 10 3 4
Vardas345 Pavarde345 8 3 10 4 2 3
Vardas346 Pavarde346 7 5 7 10 10 5
Vardas347 Pavarde347 6 4 2 7 2 8
Vardas348 Pavarde348 5 5 7 2 3 5
Vardas349 Pavarde349 8 5 1 6 7 4
Vardas350 Pavarde350 10 4 10 2 3 4
Vardas351 Pavarde351 9 9 2 2 1 8
Vardas352 Pavarde352 4 3 1 5 3 10
Vardas353 Pavarde353 2 2 7 5 9 8
Vardas354 Pavarde354 8 8 7 8 1 9
Vardas355 Pavarde355 2 3 5 4 8 5
Vardas356 Pavarde356 8 4 3 7 8 6
Vardas357 Pavarde357 8 8 8 9 1 1
Vardas358 Pavarde358 2 6 7 3 1 6
Vardas359 Pavarde359 5 6 5 3 5 5
Vardas360 Pavarde360 3 7 9 5 8 5
Vardas361 Pavarde361 10 3 2 4 3 1
Vardas362 Pavarde362 1 9 10 4 5 1
Vardas363 Pavarde363 2 5 6 5 3 4
Vardas364 Pavarde364 3 4 8 8 3 7
Vardas365 Pavarde365 9 1 1 1 8 5
Vardas366 Pavarde366 10 4 7 2 8 1
Vardas367 Pavarde367 2 9 3 9 5 7
Vardas368 Pavarde368 10 1 8 7 3 10
Vardas369 Pavarde369 1 2 3 5 1 6
Vardas370 Pavarde370 8 1 8 2 1 1
Vardas371 Pavarde371 8 2 10 4 9 2
Vardas372 Pavarde372 6 10 10 2 2 4
Vardas373 Pavarde373 6 4 2 6 8 4
Vardas374 Pavarde374 7 6 5 8 6 8
Vardas375 Pavarde375 8 5 4 6 6 8
Vardas376 Pavarde376 5 7 2 1 2 10
Vardas377 Pavarde377 9 9 5 6 8 5
Vardas378 Pavarde378 10 7 1 6 5 4
Vardas379 Pavarde379 4 3 5 1 10 8
Vardas380 Pavarde380 9 4 3 1 5 6
Vardas381 Pavarde381 9 4 8 5 8 10
Vardas382 Pavarde382 6 7 7 10 3 3
Vardas383 Pavarde383 6 6 3 4 1 3
Vardas384 Pavarde384 4 3 6 7 2 8
Vardas385 Pavarde385 5 2 4 4 5 9
Vardas386 Pavarde386 8 10 8 2 8 8
Vardas387 Pavarde387 7 8 7 2 2 2
Vardas388 Pavarde388 6 1 9 3 4 8
Vardas389 Pavarde389 2 1 3 4 9 8
Vardas390 Pavarde390 1 7 8 4 8 6
Vardas391 Pavarde391 7 3 2 5 4 9
Vardas392 Pavarde392 4 9 9 3 1 10
Vardas393 Pavarde393 7 3 8 8 4 3
Vardas394 Pavarde394 9 8 1 8 8 8
Vardas395 Pavarde395 7 10 2 6 8 1
Vardas396 Pavarde396 2 6 7 2 6 2
Vardas397 Pavarde397 6 10 6 9 10 2
Vardas398 Pavarde398 6 5 1 6 3 9
Vardas399 Pavarde399 8 1 8 9 6 6
Vardas400 Pavarde400 3 10 7 6 6 7
Vardas401 Pavarde401 2 2 10 4 4 8
Vardas402 Pavarde402 4 4 8 4 9 9
Vardas403 Pavarde403 2 2 8 6 6 5
Vardas404 Pavarde404 4 5 9 6 8 5
Vardas405 Pavarde405 9 8 4 2 2 10
Vardas406 Pavarde406 6 7 9 8 2 9
Vardas407 Pavarde407 9 5 10 2 5 2
Vardas408 Pavarde408 7 8 3 10 5 8
Vardas409 Pavarde409 4 5 2 2 8 8
Vardas410 Pavarde410 2 2 10 2 4 4
Vardas411 Pavarde411 7 6 4 9 9 5
Vardas412 Pavarde412 4 5 7 6 5 1
Vardas413 Pavarde413 8 5 8 1 3 2
Vardas414 Pavarde414 7 9 9 9 2 10
Vardas415 Pavarde415 8 9 9 1 6 1
Vardas416 Pavarde416 7 6 10 3 3 7
Vardas417 Pavarde417 10 5 9 8 2 2
Vardas418 Pavarde418 5 7 2 4 10 5
Vardas419 Pavarde419 2 2 6 7 8 2
Vardas420 Pavarde420 1 9 3 2 10 3
Vardas421 Pavarde421 2 4 1 6 9 4
Vardas422 Pavarde422 4 9 2 1 10 2
Vardas423 Pavarde423 7 2 1 7 7 9
Vardas424 Pavarde424 5 1 2 8 3 4
Vardas425 Pavarde425 7 6 2 4 10 2
Vardas426 Pavarde426 8 2 4 4 10 8
Vardas427 Pavarde427 6 5 3 1 5 7
Vardas428 Pavarde428 4 4 9 4 2 9
Vardas429 Pavarde429 4 2 1 3 7 7
Vardas430 Pavarde430 4 7 6 9 8 9
Vardas431 Pavarde431 2 6 8 3 8 8
Vardas432 Pavarde432 7 4 2 2 4 3
Vardas433 Pavarde433 3 9 2 7 7 8
Vardas434 Pavarde434 8 3 4 7 5 2
Vardas435 Pavarde435 8 4 1 5 8 3
Vardas436 Pavarde436 6 5 10 6 8 3
Vardas437 Pavarde437 8 1 4 2 9 5
Vardas438 Pavarde438 2 9 5 1 6 3
Vardas439 Pavarde439 2 5 5 7 1 6
Vardas440 Pavarde440 4 5 10 1 1 4
Vardas441 Pavarde441 10 9 1 3 7 8
Vardas442 Pavarde442 9 1 5 9 5 5
Vardas443 Pavarde443 9 3 2 7 8 4
Vardas444 Pavarde444 4 8 10 5 9 5
Vardas445 Pavarde445 5 5 3 5 4 1
Vardas446 Pavarde446 2 2 7 9 10 1
Vardas447 Pavarde447 1 3 10 6 10 2
Vardas448 Pavarde448 2 10 3 4 7 5
Vardas449 Pavarde449 6 5 1 5 3 2
Vardas450 Pavarde450 6 7 7 10 8 5
Vardas451 Pavarde451 2 6 2 8 3 1
Vardas452 Pavarde452 8 6 7 1 1 7
Vardas453 Pavarde453 6 4 8 4 5 8
Vardas454 Pavarde454 6 10 3 9 10 8
Vardas455 Pavarde455 10 7 2 8 7 9
Vardas456 Pavarde456 7 5 6 4 8 8
Vardas457 Pavarde457 4 6 1 7 8 5
Vardas458 Pavarde458 1 7 1 2 4 3
Vardas459 Pavarde459 3 2 6 4 4 3
Vardas460 Pavarde460 4 6 4 4 9 2
Vardas461 Pavarde461 6 4 4 1 10 7
Vardas462 Pavarde462 7 5 6 8 9 2
Vardas463 Pavarde463 1 5 8 7 3 1
Vardas464 Pavarde464 4 2 6 7 3 10
Vardas465 Pavarde465 10 8 4 3 6 10
Vardas466 Pavarde466 5 6 1 8 10 7
Vardas467 Pavarde467 4 2 6 9 5 7
Vardas468 Pavarde468 10 4 9 9 4 9
Vardas469 Pavarde469 2 4 3 9 9 5
Vardas470 Pavarde470 2 7 2 2 9 7
Vardas471 Pavarde471 7 7 9 7 3 6
Vardas472 Pavarde472 5 1 9 9 10 4
Vardas473 Pavarde473 9 9 2 10 8 2
Vardas474 Pavarde474 1 9 7 10 1 4
Vardas475 Pavarde475 5 1 1 4 3 2
Vardas476 Pavarde476 2 2 3 10 10 2
Vardas477 Pavarde477 3 2 5 9 10 1
Vardas478 Pavarde478 2 10 9 10 1 3
Vardas479 Pavarde479 7 6 1 1 6 4
Vardas480 Pavarde480 1 8 4 3 3 10
Vardas481 Pavarde481 1 1 4 6 6 6
Vardas482 Pavarde482 6 2 6 1 5 3
Vardas483 Pavarde483 5 1 10 6 8 8
Vardas484 Pavarde484 6 7 6 7 2 9
Vardas485 Pavarde485 8 3 2 6 2 8
Vardas486 Pavarde486 10 1 2 8 4 2
Vardas487 Pavarde487 7 3 6 8 8 5
Vardas488 Pavarde488 3 6 8 4 8 9
Vardas489 Pavarde489 8 5 10 5 9 1
Vardas490 Pavarde490 5 10 6 3 1 2
Vardas491 Pavarde491 5 10 8 10 3 6
Vardas492 Pavarde492 8 6 9 4 6 5
Vardas493 Pavarde493 3 4 2 6 1 7
Vardas494 Pavarde494 3 5 8 5 1 2
Vardas495 Pavarde495 9 2 8 10 4 10
Vardas496 Pavarde496 7 8 4 1 4 10
Vardas497 Pavarde497 1 4 9 5 4 8
Vardas498 Pavarde498 9 2 3 3 2 2
Vardas499 Pavarde499 6 3 5 9 6 8
Vardas500 Pavarde500 7 2 10 9 7 4
Vardas501 Pavarde501 3 5 4 7 3 6
Vardas502 Pavarde502 7 8 5 6 3 6
Vardas503 Pavarde503 7 7 1 1 7 3
Vardas504 Pavarde504 2 9 8 1 5 8
Vardas505 Pavarde505 6 8 9 2 1 7
Vardas506 Pavarde506 2 8 10 5 7 9
Vardas507 Pavarde507 9 5 5 9 3 2
Vardas508 Pavarde508 9 2 6 3 5 5
Vardas509 Pavarde509 9 7 8 6 4 9
Vardas510 Pavarde510 6 4 9 4 4 2
Vardas511 Pavarde511 2 3 9 4 2 6
Vardas512 Pavarde512 10 3 4 10 6 5
Vardas513 Pavarde513 4 3 2 10 7 2
Vardas514 Pavarde514 9 4 6 10 10 7
Vardas515 Pavarde515 7 9 6 7 3 5
Vardas516 Pavarde516 8 6 1 3 10 5
Vardas517 Pavarde517 6 5 3 9 1 9
Vardas518 Pavarde518 2 7 5 6 4 9
Vardas519 Pavarde519 7 4 3 10 8 9
Vardas520 Pavarde520 9 9 5 9 9 2
Vardas521 Pavarde521 10 10 2 4 7 6
Vardas522 Pavarde522 10 10 7 2 5 2
Vardas523 Pavarde523 10 7 5 4 1 5
Vardas524 Pavarde524 9 1 6 7 8 9
Vardas525 Pavarde525 4 6 10 10 9 3
Vardas526 Pavarde526 4 6 1 7 1 9
Vardas527 Pavarde527 9 9 1 5 6 4
Vardas528 Pavarde528 5 1 8 3 10 8
Vardas529 Pavarde529 9 10 2 9 10 9
Vardas530 Pavarde530 6 10 8 7 3 4
Vardas531 Pavarde531 5 10 7 3 5 7
Vardas532 Pavarde532 2 4 7 2 7 9
Vardas533 Pavarde533 6 5 1 1 10 10
Vardas534 Pavarde534 8 10 9 9 9 7
Vardas535 Pavarde535 5 1 1 6 4 4
Vardas536 Pavarde536 4 2 2 9 2 8
Vardas537 Pavarde537 10 7 6 6 6 6
Vardas538 Pavarde538 3 10 2 5 5 2
Vardas539 Pavarde539 4 8 7 1 2 3
Vardas540 Pavarde540 9 7 9 9 9 9
Vardas541 Pavarde541 1 10 9 4 7 10
Vardas542 Pavarde542 4 9 8 1 5 10
Vardas543 Pavarde543 2 1 6 5 4 3
Vardas544 Pavarde544 1 2 4 9 10 9
Vardas545 Pavarde545 10 7 1 9 2 5
Vardas546 Pavarde546 2 3 6 5 1 3
Vardas547 Pavarde547 2 5 8 8 6 3
Vardas548 Pavarde548 5 5 3 7 1 3
Vardas549 Pavarde549 1 7 9 9 4 4
Vardas550 Pavarde550 7 7 5 3 7 8
Vardas551 Pavarde551 8 3 1 2 1 7
Vardas552 Pavarde552 4 10 2 10 6 7
Vardas553 Pavarde553 5 7 7 10 3 5
Vardas554 Pavarde554 1 4 8 1 7 5
Vardas555 Pavarde555 7 9 10 1 7 1
Vardas556 Pavarde556 9 6 5 4 5 9
