Vardas     Pavarde    ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas65 Pavarde65 3 1 7 4 6 7
Vardas66 Pavarde66 2 3 10 10 6 4
Vardas67 Pavarde67 7 5 8 4 10 1
Vardas68 Pavarde68 10 8 5 2 2 1
Vardas69 Pavarde69 1 6 4 9 5 2
Vardas70 Pavarde70 10 7 3 7 8 10
Vardas71 Pavarde71 8 2 9 7 6 2
Vardas72 Pavarde72 5 2 4 1 10 7
Vardas73 Pavarde73 3 1 4 10 2 7
Vardas74 Pavarde74 9 1 3 10 9 1
Vardas75 Pavarde75 1 4 7 3 5 9
Vardas76 Pavarde76 4 6 4 7 5 7
Vardas77 Pavarde77 2 6 2 1 6 5
Vardas78 Pavarde78 5 7 1 3 4 1
Vardas79 Pavarde79 5 8 1 8 5 2
Vardas80 Pavarde80 2 2 10 7 9 5
Vardas81 Pavarde81 9 1 2 5 4 5
Vardas82 Pavarde82 6 1 4 6 4 2
Vardas83 Pavarde83 8 9 2 9 10 7
Vardas84 Pavarde84 6 1 2 4 6 10
Vardas85 Pavarde85 3 3 9 8 3 7
Vardas86 Pavarde86 8 1 1 10 7 6
Vardas87 Pavarde87 9 5 1 9 4 5
Vardas88 Pavarde88 4 3 6 3 5 10
Vardas89 Pavarde89 6 1 3 8 4 7
Vardas90 Pavarde90 3 9 4 9 10 5
Vardas91 Pavarde91 5 4 1 3 4 8
Vardas92 Pavarde92 7 9 10 10 8 2
Vardas93 Pavarde93 6 2 5 8 1 10
Vardas94 Pavarde94 4 2 2 5 10 6
Vardas95 Pavarde95 4 8 7 5 7 2
Vardas96 Pavarde96 4 10 6 6 10 1
Vardas97 Pavarde97 6 7 2 3 7 6
Vardas98 Pavarde98 6 2 5 8 9 8
Vardas99 Pavarde99 6 6 9 2 4 9
Vardas100 Pavarde100 1 8 8 3 9 4
Vardas101 Pavarde101 1 8 8 8 5 9
Vardas102 Pavarde102 5 8 10 5 10 4
Vardas103 Pavarde103 7 5 4 3 8 4
Vardas104 Pavarde104 10 1 5 3 6 5
Vardas105 Pavarde105 6 6 5 7 7 7
Vardas106 Pavarde106 2 8 3 9 3 10
Vardas107 Pavarde107 2 1 7 7 9 6
Vardas108 Pavarde108 1 6 7 5 7 6
Vardas109 Pavarde109 4 8 3 8 5 6
Vardas110 Pavarde110 5 8 5 3 9 1
Vardas111 Pavarde111 8 1 1 8 9 2
Vardas112 Pavarde112 7 9 6 3 5 9
Vardas113 Pavarde113 6 3 9 6 1 7
Vardas114 Pavarde114 4 10 3 4 7 4
Vardas115 Pavarde115 8 7 10 6 1 5
Vardas116 Pavarde116 9 10 1 3 6 10
Vardas117 Pavarde117 5 1 7 8 8 1
Vardas118 Pavarde118 5 8 1 8 8 9
Vardas119 Pavarde119 6 10 6 6 10 4
Vardas120 Pavarde120 1 4 10 1 2 4
Vardas121 Pavarde121 6 2 7 4 10 2
Vardas122 Pavarde122 5 3 4 7 3 5
Vardas123 Pavarde123 6 2 7 3 7 3
Vardas124 Pavarde124 2 5 2 9 5 4
Vardas125 Pavarde125 3 3 9 1 1 3
Vardas126 Pavarde126 7 8 10 1 4 3
Vardas127 Pavarde127 5 6 5 5 7 2
Vardas128 Pavarde128 10 1 1 6 5 1
Vardas129 Pavarde129 7 4 3 4 7 6
Vardas130 Pavarde130 1 3 3 9 10 4
Vardas131 Pavarde131 1 9 8 6 6 7
Vardas132 Pavarde132 6 2 6 1 5 4
Vardas133 Pavarde133 7 8 7 4 8 9
Vardas134 Pavarde134 7 6 3 5 3 4
Vardas135 Pavarde135 7 7 6 2 7 2
Vardas136 Pavarde136 10 9 9 2 6 3
Vardas137 Pavarde137 1 3 9 7 9 10
Vardas138 Pavarde138 1 1 2 3 9 9
Vardas139 Pavarde139 10 3 4 8 2 8
Vardas140 Pavarde140 4 8 3 10 2 4
Vardas141 Pavarde141 6 10 2 2 1 10
Vardas142 Pavarde142 8 10 7 1 1 2
Vardas143 Pavarde143 1 9 3 3 2 8
Vardas144 Pavarde144 8 6 8 6 5 10
Vardas145 Pavarde145 10 6 8 5 4 1
Vardas146 Pavarde146 7 4 3 1 2 2
Vardas147 Pavarde147 8 2 5 1 1 1
Vardas148 Pavarde148 9 10 1 8 4 8
Vardas149 Pavarde149 9 7 5 8 3 7
Vardas150 Pavarde150 9 4 3 6 6 8
Vardas151 Pavarde151 8 4 7 6 5 8
Vardas152 Pavarde152 8 7 4 7 1 8
Vardas153 Pavarde153 10 10 5 9 9 1
Vardas154 Pavarde154 1 6 3 9 4 6
Vardas155 Pavarde155 10 1 2 4 3 9
Vardas156 Pavarde156 1 7 10 1 4 2
Vardas157 Pavarde157 7 2 4 6 8 5
Vardas158 Pavarde158 5 1 1 6 6 4
Vardas159 Pavarde159 10 1 10 10 9 1
Vardas160 Pavarde160 9 10 10 8 2 7
Vardas161 Pavarde161 7 5 6 6 9 10
Vardas162 Pavarde162 10 7 3 3 1 1
Vardas163 Pavarde163 2 1 1 2 1 5
Vardas164 Pavarde164 2 2 2 6 9 7
Vardas165 Pavarde165 9 6 4 2 2 4
Vardas166 Pavarde166 2 9 1 10 3 7
Vardas167 Pavarde167 8 7 10 6 3 9
Vardas168 Pavarde168 7 8 3 2 8 8
Vardas169 Pavarde169 9 2 5 8 9 6
Vardas170 Pavarde170 7 3 9 3 1 7
Vardas171 Pavarde171 5 10 4 8 10 2
Vardas172 Pavarde172 7 2 9 9 10 10
Vardas173 Pavarde173 5 9 4 4 6 3
Vardas174 Pavarde174 10 9 6 6 8 9
Vardas175 Pavarde175 4 6 5 6 1 9
Vardas176 Pavarde176 4 9 2 7 2 10
Vardas177 Pavarde177 5 3 4 2 8 1
Vardas178 Pavarde178 9 9 6 4 2 8
Vardas179 Pavarde179 3 10 2 7 6 6
Vardas180 Pavarde180 2 2 9 2 8 9
Vardas181 Pavarde181 6 2 5 7 1 3
Vardas182 Pavarde182 5 9 8 2 5 4
Vardas183 Pavarde183 8 8 1 2 6 9
Vardas184 Pavarde184 4 3 2 9 9 3
Vardas185 Pavarde185 6 10 10 6 6 4
Vardas186 Pavarde186 8 4 8 6 2 3
Vardas187 Pavarde187 6 2 3 4 9 1
Vardas188 Pavarde188 5 7 4 4 2 9
Vardas189 Pavarde189 5 7 7 8 2 6
Vardas190 Pavarde190 3 2 3 8 9 7
Vardas191 Pavarde191 2 3 10 9 4 1
Vardas192 Pavarde192 6 9 3 2 10 9
Vardas193 Pavarde193 7 6 3 8 10 9
Vardas194 Pavarde194 7 9 10 3 10 10
Vardas195 Pavarde195 5 5 9 4 2 7
Vardas196 Pavarde196 7 6 8 8 10 4
Vardas197 Pavarde197 1 8 1 8 9 9
Vardas198 Pavarde198 5 8 1 1 4 2
Vardas199 Pavarde199 5 4 10 2 1 10
Vardas200 Pavarde200 3 2 1 8 1 7
Vardas201 Pavarde201 9 6 7 6 7 1
Vardas202 Pavarde202 10 9 7 9 7 6
Vardas203 Pavarde203 10 3 9 2 1 2
Vardas204 Pavarde204 4 6 8 5 10 7
Vardas205 Pavarde205 3 4 2 7 10 2
Vardas206 Pavarde206 6 4 3 5 8 6
Vardas207 Pavarde207 6 6 1 6 2 2
Vardas208 Pavarde208 1 9 1 9 7 9
Vardas209 Pavarde209 9 7 1 6 10 8
Vardas210 Pavarde210 6 7 4 5 10 9
Vardas211 Pavarde211 7 5 7 6 6 10
Vardas212 Pavarde212 10 5 10 8 8 8
Vardas213 Pavarde213 2 3 2 3 2 10
Vardas214 Pavarde214 6 10 10 2 5 8
Vardas215 Pavarde215 4 10 7 5 5 8
Vardas216 Pavarde216 7 10 3 2 7 6
Vardas217 Pavarde217 4 7 4 10 2 6
Vardas218 Pavarde218 1 6 8 3 7 7
Vardas219 Pavarde219 4 4 6 2 4 1
Vardas220 Pavarde220 1 1 2 4 5 6
Vardas221 Pavarde221 10 8 8 5 1 7
Vardas222 Pavarde222 7 7 4 9 3 6
Vardas223 Pavarde223 7 1 1 8 10 10
Vardas224 Pavarde224 3 6 2 7 9 1
Vardas225 Pavarde225 6 2 3 8 5 9
Vardas226 Pavarde226 9 2 5 2 10 2
Vardas227 Pavarde227 5 7 7 1 1 9
Vardas228 Pavarde228 9 4 10 6 7 6
Vardas229 Pavarde229 4 10 4 8 6 9
Vardas230 Pavarde230 4 8 8 9 7 2
Vardas231 Pavarde231 2 2 4 2 2 7
Vardas232 Pavarde232 6 9 8 5 1 5
Vardas233 Pavarde233 6 4 3 10 2 10
Vardas234 Pavarde234 8 7 10 1 8 2
Vardas235 Pavarde235 10 8 6 3 4 10
Vardas236 Pavarde236 9 3 5 6 6 2
Vardas237 Pavarde237 7 10 3 1 8 10
Vardas238 Pavarde238 3 9 6 6 5 3
Vardas239 Pavarde239 4 5 8 5 10 9
Vardas240 Pavarde240 4 10 9 9 8 4
Vardas241 Pavarde241 1 9 8 2 1 8
Vardas242 Pavarde242 10 4 5 7 6 4
Vardas243 Pavarde243 8 1 1 10 2 4
Vardas244 Pavarde244 4 4 2 5 10 1
Vardas245 Pavarde245 7 10 8 1 10 1
Vardas246 Pavarde246 1 3 9 9 2 7
Vardas247 Pavarde247 7 3 5 3 10 9
Vardas248 Pavarde248 10 4 1 2 4 7
Vardas249 Pavarde249 8 10 2 6 7 10
Vardas250 Pavarde250 8 5 9 10 9 8
Vardas251 Pavarde251 10 5 4 8 8 10
Vardas252 Pavarde252 9 8 6 2 8 2
Vardas253 Pavarde253 4 1 7 8 7 5
Vardas254 Pavarde254 3 8 3 3 8 6
Vardas255 Pavarde255 8 8 2 3 4 7
Vardas256 Pavarde256 7 1 4 4 5 5
Vardas257 Pavarde257 9 8 1 10 2 1
Vardas258 Pavarde258 3 1 6 10 2 2
Vardas259 Pavarde259 2 8 1 1 5 9
Vardas260 Pavarde260 7 1 5 2 10 8
Vardas261 Pavarde261 3 2 7 6 7 9
Vardas262 Pavarde262 6 3 2 7 10 2
Vardas263 Pavarde263 2 8 9 5 6 9
Vardas264 Pavarde264 6 7 10 4 9 10
Vardas265 Pavarde265 7 4 4 10 1 1
Vardas266 Pavarde266 10 6 7 4 4 9
Vardas267 Pavarde267 1 10 4 9 5 6
Vardas268 Pavarde268 2 8 9 2 1 6
Vardas269 Pavarde269 5 10 10 7 1 9
Vardas270 Pavarde270 9 7 7 9 10 1
Vardas271 Pavarde271 8 6 8 9 9 3
Vardas272 Pavarde272 7 5 10 2 4 6
Vardas273 Pavarde273 1 8 10 4 8 10
Vardas274 Pavarde274 1 1 6 9 7 4
Vardas275 Pavarde275 10 1 6 7 7 5
Vardas276 Pavarde276 2 10 10 3 1 1
Vardas277 Pavarde277 10 1 10 2 4 8
Vardas278 Pavarde278 2 6 10 6 6 6
Vardas279 Pavarde279 10 6 6 8 8 2
Vardas280 Pavarde280 5 1 2 3 9 4
Vardas281 Pavarde281 1 9 8 4 10 10
Vardas282 Pavarde282 2 7 1 7 4 1
Vardas283 Pavarde283 10 5 8 6 6 4
Vardas284 Pavarde284 1 4 5 6 8 1
Vardas285 Pavarde285 1 8 3 3 10 2
Vardas286 Pavarde286 10 8 6 6 5 5
Vardas287 Pavarde287 5 1 6 5 6 4
Vardas288 Pavarde288 4 8 6 2 8 5
Vardas289 Pavarde289 6 4 4 9 6 3
Vardas290 Pavarde290 7 8 10 9 10 4
Vardas291 Pavarde291 2 7 7 9 1 8
Vardas292 Pavarde292 2 5 10 6 2 8
Vardas293 Pavarde293 8 6 9 3 7 8
Vardas294 Pavarde294 9 1 3 1 2 1
Vardas295 Pavarde295 1 2 6 2 4 9
Vardas296 Pavarde296 10 6 3 9 4 10
Vardas297 Pavarde297 7 5 7 7 8 4
Vardas298 Pavarde298 3 9 9 5 6 2
Vardas299 Pavarde299 7 6 5 1 9 6
Vardas300 Pavarde300 4 3 8 8 2 2
Vardas301 Pavarde301 9 4 8 1 8 10
Vardas302 Pavarde302 3 8 7 10 10 1
Vardas303 Pavarde303 1 3 1 6 10 9
Vardas304 Pavarde304 8 9 7 7 8 5
Vardas305 Pavarde305 1 2 5 9 6 6
Vardas306 Pavarde306 7 6 2 5 9 5
Vardas307 Pavarde307 8 4 3 1 4 10
Vardas308 Pavarde308 10 4 2 1 5 1
Vardas309 Pavarde309 7 4 6 8 7 9
Vardas310 Pavarde310 5 5 8 8 4 10
Vardas311 Pavarde311 3 6 9 5 10 4
Vardas312 Pavarde312 2 2 9 9 5 3
Vardas313 Pavarde313 6 9 8 8 3 6
Vardas314 Pavarde314 7 8 3 7 7 10
Vardas315 Pavarde315 4 2 4 2 3 4
Vardas316 Pavarde316 5 3 8 6 8 8
Vardas317 Pavarde317 7 9 6 7 8 5
Vardas318 Pavarde318 10 3 3 5 3 10
Vardas319 Pavarde319 5 10 2 3 10 4
Vardas320 Pavarde320 10 4 5 4 8 1
Vardas321 Pavarde321 3 2 2 8 1 4
Vardas322 Pavarde322 9 1 6 3 10 8
Vardas323 Pavarde323 3 9 2 10 10 5
Vardas324 Pavarde324 4 1 4 4 7 4
Vardas325 Pavarde325 8 5 10 8 9 5
Vardas326 Pavarde326 5 5 8 4 6 3
Vardas327 Pavarde327 1 2 1 8 3 9
Vardas328 Pavarde328 6 3 2 4 4 7
Vardas329 Pavarde329 8 4 10 3 7 5
Vardas330 Pavarde330 4 3 4 5 8 7
Vardas331 Pavarde331 8 3 9 2 5 5
Vardas332 Pavarde332 7 3 7 9 10 5
Vardas333 Pavarde333 5 7 7 2 3 9
Vardas334 Pavarde334 7 1 1 7 4 2
Vardas335 Pavarde335 1 7 2 9 10 7
Vardas336 Pavarde336 9 5 4 5 5 4
Vardas337 Pavarde337 3 5 8 2 8 1
Vardas338 Pavarde338 10 2 10 8 1 10
Vardas339 Pavarde339 9 6 5 4 2 10
Vardas340 Pavarde340 9 1 4 5 9 8
Vardas341 Pavarde341 7 1 9 6 6 4
Vardas342 Pavarde342 6 7 3 8 2 5
Vardas343 Pavarde343 9 6 3 4 8 5
Vardas344 Pavarde344 6 6 9 8 10 6
Vardas345 Pavarde345 9 6 2 4 4 6
Vardas346 Pavarde346 2 1 1 1 6 8
Vardas347 Pavarde347 6 4 7 9 9 10
Vardas348 Pavarde348 5 8 2 5 2 5
Vardas349 Pavarde349 9 3 5 10 6 6
Vardas350 Pavarde350 6 7 1 9 6 4
Vardas351 Pavarde351 6 9 3 6 5 2
Vardas352 Pavarde352 1 8 1 10 9 7
Vardas353 Pavarde353 9 3 7 9 6 9
Vardas354 Pavarde354 6 6 10 5 9 4
Vardas355 Pavarde355 2 8 4 8 1 10
Vardas356 Pavarde356 9 1 10 1 8 1
Vardas357 Pavarde357 10 8 1 6 2 8
Vardas358 Pavarde358 10 6 3 5 3 1
Vardas359 Pavarde359 1 8 3 5 10 2
Vardas360 Pavarde360 4 6 5 3 3 7
Vardas361 Pavarde361 8 7 10 3 2 10
Vardas362 Pavarde362 6 2 2 5 1 10
Vardas363 Pavarde363 1 5 10 4 2 7
Vardas364 Pavarde364 8 5 8 9 7 8
Vardas365 Pavarde365 4 3 2 1 9 8
Vardas366 Pavarde366 2 8 7 2 8 9
Vardas367 Pavarde367 6 8 8 6 4 5
Vardas368 Pavarde368 7 2 9 1 9 10
Vardas369 Pavarde369 4 3 4 5 4 1
Vardas370 Pavarde370 8 6 8 8 4 4
Vardas371 Pavarde371 5 4 6 7 8 4
Vardas372 Pavarde372 10 6 10 6 6 7
Vardas373 Pavarde373 4 9 6 4 5 2
Vardas374 Pavarde374 6 5 3 3 3 10
Vardas375 Pavarde375 9 4 4 8 3 5
Vardas376 Pavarde376 4 2 6 2 6 7
Vardas377 Pavarde377 3 4 1 3 9 1
Vardas378 Pavarde378 5 6 8 2 6 4
Vardas379 Pavarde379 2 7 8 7 10 7
Vardas380 Pavarde380 8 4 9 1 5 2
Vardas381 Pavarde381 9 9 9 8 4 8
Vardas382 Pavarde382 6 7 4 3 9 8
Vardas383 Pavarde383 5 1 3 4 1 8
Vardas384 Pavarde384 3 5 8 2 6 10
Vardas385 Pavarde385 1 6 7 8 8 3
Vardas386 Pavarde386 10 8 2 3 5 3
Vardas387 Pavarde387 5 8 5 3 6 5
Vardas388 Pavarde388 3 7 10 7 5 6
Vardas389 Pavarde389 4 4 9 7 10 10
Vardas390 Pavarde390 8 7 4 9 8 6
Vardas391 Pavarde391 5 6 8 7 8 3
Vardas392 Pavarde392 9 5 10 6 6 10
Vardas393 Pavarde393 6 2 3 2 9 8
Vardas394 Pavarde394 8 8 7 9 4 1
Vardas395 Pavarde395 9 7 6 9 10 7
Vardas396 Pavarde396 3 8 5 5 1 9
Vardas397 Pavarde397 4 3 10 2 9 2
Vardas398 Pavarde398 2 5 2 1 4 4
Vardas399 Pavarde399 4 1 4 9 5 7
Vardas400 Pavarde400 1 6 9 4 10 3
Vardas401 Pavarde401 3 10 10 8 6 6
Vardas402 Pavarde402 2 5 2 4 9 5
Vardas403 Pavarde403 7 5 9 7 2 5
Vardas404 Pavarde404 9 8 10 3 4 6
Vardas405 Pavarde405 9 1 9 10 7 6
Vardas406 Pavarde406 9 5 3 6 8 9
Vardas407 Pavarde407 3 9 1 9 10 9
Vardas408 Pavarde408 2 4 9 7 4 8
Vardas409 Pavarde409 9 2 9 10 10 4
Vardas410 Pavarde410 9 1 5 6 9 1
Vardas411 Pavarde411 6 4 3 3 7 2
Vardas412 Pavarde412 9 9 10 4 1 8
Vardas413 Pavarde413 10 4 6 9 2 10
Vardas414 Pavarde414 8 1 3 2 8 5
Vardas415 Pavarde415 7 1 5 8 2 1
Vardas416 Pavarde416 9 2 1 6 2 4
Vardas417 Pavarde417 1 8 7 5 6 8
Vardas418 Pavarde418 5 6 7 1 6 2
Vardas419 Pavarde419 4 1 7 7 4 1
Vardas420 Pavarde420 6 7 2 1 7 2
Vardas421 Pavarde421 2 4 8 7 1 5
Vardas422 Pavarde422 2 7 4 9 9 9
Vardas423 Pavarde423 8 5 1 4 2 6
Vardas424 Pavarde424 3 8 10 10 4 6
Vardas425 Pavarde425 1 1 6 9 9 2
Vardas426 Pavarde426 5 7 3 2 2 1
Vardas427 Pavarde427 5 10 6 1 10 1
Vardas428 Pavarde428 7 7 5 10 10 10
Vardas429 Pavarde429 8 4 6 8 4 7
Vardas430 Pavarde430 3 1 4 4 10 3
Vardas431 Pavarde431 1 1 9 6 10 3
Vardas432 Pavarde432 9 3 8 1 4 7
Vardas433 Pavarde433 4 6 4 2 8 1
Vardas434 Pavarde434 8 9 4 4 1 7
Vardas435 Pavarde435 10 4 8 2 7 7
Vardas436 Pavarde436 4 4 3 9 6 7
Vardas437 Pavarde437 8 5 6 6 9 10
Vardas438 Pavarde438 5 8 10 5 10 6
Vardas439 Pavarde439 9 10 9 4 6 6
Vardas440 Pavarde440 6 9 9 10 10 8
Vardas441 Pavarde441 10 6 10 7 8 6
Vardas442 Pavarde442 6 9 7 3 9 8
Vardas443 Pavarde443 10 4 10 5 3 3
Vardas444 Pavarde444 3 2 5 2 8 9
Vardas445 Pavarde445 10 6 3 2 5 6
Vardas446 Pavarde446 3 10 10 1 6 4
Vardas447 Pavarde447 2 10 1 9 6 2
Vardas448 Pavarde448 5 2 1 3 3 6
Vardas449 Pavarde449 8 5 8 1 3 6
Vardas450 Pavarde450 3 10 3 3 3 9
Vardas451 Pavarde451 10 10 7 7 4 7
Vardas452 Pavarde452 6 8 2 2 5 4
Vardas453 Pavarde453 5 3 2 3 10 6
Vardas454 Pavarde454 8 10 3 4 4 1
Vardas455 Pavarde455 3 9 8 5 8 8
Vardas456 Pavarde456 10 9 5 1 9 5
Vardas457 Pavarde457 8 2 3 9 10 3
Vardas458 Pavarde458 6 9 6 2 5 6
Vardas459 Pavarde459 5 8 10 3 1 9
Vardas460 Pavarde460 4 5 6 5 10 10
Vardas461 Pavarde461 2 10 6 6 4 6
Vardas462 Pavarde462 5 6 5 3 4 5
Vardas463 Pavarde463 2 1 1 8 6 7
Vardas464 Pavarde464 8 8 8 9 2 1
Vardas465 Pavarde465 4 6 10 7 10 7
Vardas466 Pavarde466 10 7 5 7 2 4
Vardas467 Pavarde467 6 9 1 6 9 7
Vardas468 Pavarde468 7 9 3 4 6 7
Vardas469 Pavarde469 4 5 7 5 1 3
Vardas470 Pavarde470 9 9 6 9 2 3
Vardas471 Pavarde471 8 7 1 4 2 1
Vardas472 Pavarde472 8 1 9 1 10 9
Vardas473 Pavarde473 4 8 7 1 1 6
Vardas474 Pavarde474 1 10 1 8 7 1
Vardas475 Pavarde475 10 5 5 9 6 10
Vardas476 Pavarde476 9 3 8 5 7 4
Vardas477 Pavarde477 4 5 10 2 7 1
Vardas478 Pavarde478 9 3 8 8 3 7
Vardas479 Pavarde479 5 1 1 8 8 1
Vardas480 Pavarde480 6 2 5 4 5 6
Vardas481 Pavarde481 7 2 4 9 4 4
Vardas482 Pavarde482 2 10 7 4 10 1
Vardas483 Pavarde483 8 3 9 8 3 2
Vardas484 Pavarde484 7 6 6 1 2 1
Vardas485 Pavarde485 9 6 3 7 4 4
Vardas486 Pavarde486 4 5 6 1 2 4
Vardas487 Pavarde487 2 4 9 4 2 8
Vardas488 Pavarde488 10 3 4 9 9 6
Vardas489 Pavarde489 1 9 1 5 8 10
Vardas490 Pavarde490 2 4 4 1 5 1
Vardas491 Pavarde491 6 2 8 2 2 3
Vardas492 Pavarde492 7 3 7 5 9 10
Vardas493 Pavarde493 7 3 6 10 6 1
Vardas494 Pavarde494 10 9 5 4 7 5
Vardas495 Pavarde495 1 3 7 1 5 2
Vardas496 Pavarde496 2 4 5 10 3 1
Vardas497 Pavarde497 8 4 1 8 9 2
Vardas498 Pavarde498 7 10 1 9 7 7
Vardas499 Pavarde499 3 5 1 8 10 7
Vardas500 Pavarde500 5 3 5 7 8 5
Vardas501 Pavarde501 1 7 6 5 7 6
Vardas502 Pavarde502 7 7 9 1 9 6
Vardas503 Pavarde503 2 5 9 1 3 7
Vardas504 Pavarde504 10 1 3 7 9 2
Vardas505 Pavarde505 7 10 7 9 7 3
Vardas506 Pavarde506 8 10 7 7 8 4
Vardas507 Pavarde507 8 9 1 4 4 8
Vardas508 Pavarde508 8 9 10 9 2 9
Vardas509 Pavarde509 5 1 9 6 2 5
Vardas510 Pavarde510 7 7 6 3 3 8
Vardas511 Pavarde511 7 9 8 9 6 6
Vardas512 Pavarde512 3 2 6 8 7 10
Vardas513 Pavarde513 8 8 5 4 5 5
Vardas514 Pavarde514 4 9 10 9 10 8
Vardas515 Pavarde515 6 8 4 10 8 5
Vardas516 Pavarde516 4 5 9 6 10 10
Vardas517 Pavarde517 8 9 2 2 4 4
Vardas518 Pavarde518 1 5 5 1 5 1
Vardas519 Pavarde519 1 9 9 4 9 9
Vardas520 Pavarde520 6 1 10 7 9 1
Vardas521 Pavarde521 8 5 7 2 4 8
Vardas522 Pavarde522 5 8 4 7 3 8
Vardas523 Pavarde523 5 8 1 2 3 7
Vardas524 Pavarde524 6 7 2 5 9 2
Vardas525 Pavarde525 4 2 2 8 3 4
Vardas526 Pavarde526 5 7 9 1 9 7
Vardas527 Pavarde527 7 1 6 7 5 8
Vardas528 Pavarde528 5 8 7 10 2 8
Vardas529 Pavarde529 2 10 7 9 1 6
Vardas530 Pavarde530 8 2 3 10 5 6
Vardas531 Pavarde531 9 6 7 2 6 9
Vardas532 Pavarde532 3 5 1 8 5 3
Vardas533 Pavarde533 9 6 2 4 7 4
Vardas534 Pavarde534 3 9 2 3 1 9
Vardas535 Pavarde535 5 6 9 1 10 9
Vardas536 Pavarde536 10 6 1 2 1 3
Vardas537 Pavarde537 5 5 10 4 2 5
Vardas538 Pavarde538 8 4 2 10 2 5
Vardas539 Pavarde539 6 1 7 7 2 4
Vardas540 Pavarde540 10 3 7 3 9 5
Vardas541 Pavarde541 8 2 1 9 2 9
Vardas542 Pavarde542 4 1 9 9 4 1
Vardas543 Pavarde543 2 3 10 6 10 5
Vardas544 Pavarde544 3 5 6 7 9 1
Vardas545 Pavarde545 1 8 3 10 9 3
Vardas546 Pavarde546 6 1 8 4 3 3
Vardas547 Pavarde547 8 10 10 7 7 1
Vardas548 Pavarde548 3 4 10 1 1 7
Vardas549 Pavarde549 6 1 8 7 3 4
Vardas550 Pavarde550 8 3 8 2 3 5
Vardas551 Pavarde551 4 9 5 10 9 2
Vardas552 Pavarde552 4 2 7 2 8 8
Vardas553 Pavarde553 5 10 3 10 2 5
Vardas554 Pavarde554 5 1 9 9 5 1
Vardas555 Pavarde555 5 7 6 9 3 10
Vardas556 Pavarde556 8 3 8 9 5 1
