Vardas     Pavarde    ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas160 Pavarde160 7 4 10 9 5 6
Vardas161 Pavarde161 7 9 10 8 1 10
Vardas162 Pavarde162 1 9 4 6 3 8
Vardas163 Pavarde163 9 2 8 7 10 4
Vardas164 Pavarde164 8 9 6 1 10 5
Vardas165 Pavarde165 3 10 1 7 8 5
Vardas166 Pavarde166 9 3 3 9 8 6
Vardas167 Pavarde167 7 8 2 7 4 8
Vardas168 Pavarde168 3 5 4 6 1 6
Vardas169 Pavarde169 5 9 5 5 2 2
Vardas170 Pavarde170 10 4 10 4 6 5
Vardas171 Pavarde171 6 9 3 7 9 10
Vardas172 Pavarde172 6 10 6 4 2 10
Vardas173 Pavarde173 9 10 9 3 2 5
Vardas174 Pavarde174 2 7 3 8 5 3
Vardas175 Pavarde175 4 2 5 2 6 4
Vardas176 Pavarde176 8 9 10 8 2 10
Vardas177 Pavarde177 2 7 7 10 3 2
Vardas178 Pavarde178 5 8 5 1 3 1
Vardas179 Pavarde179 9 2 4 8 9 3
Vardas180 Pavarde180 5 3 3 10 6 1
Vardas181 Pavarde181 3 5 7 7 8 8
Vardas182 Pavarde182 1 5 3 9 2 1
Vardas183 Pavarde183 1 1 7 4 6 3
Vardas184 Pavarde184 4 1 7 7 3 5
Vardas185 Pavarde185 2 4 10 5 7 8
Vardas186 Pavarde186 5 10 1 1 5 6
Vardas187 Pavarde187 3 6 7 2 4 2
Vardas188 Pavarde188 9 6 9 10 6 5
Vardas189 Pavarde189 4 9 3 7 9 9
Vardas190 Pavarde190 9 6 6 8 10 1
Vardas191 Pavarde191 8 9 1 9 4 10
Vardas192 Pavarde192 2 10 10 4 1 3
Vardas193 Pavarde193 3 5 2 3 3 2
Vardas194 Pavarde194 1 2 7 9 9 7
Vardas195 Pavarde195 1 6 6 4 7 9
Vardas196 Pavarde196 3 2 5 6 4 9
Vardas197 Pavarde197 4 8 2 7 5 3
Vardas198 Pavarde198 8 6 5 8 1 4
Vardas199 Pavarde199 7 6 3 10 7 7
Vardas200 Pavarde200 5 9 7 6 7 9
Vardas201 Pavarde201 7 3 2 7 6 3
Vardas202 Pavarde202 10 5 3 10 3 8
Vardas203 Pavarde203 2 6 7 6 4 9
Vardas204 Pavarde204 9 8 2 3 2 5
Vardas205 Pavarde205 8 2 5 9 2 10
Vardas206 Pavarde206 7 3 4 9 2 9
Vardas207 Pavarde207 6 4 6 10 5 10
Vardas208 Pavarde208 8 3 5 2 3 1
Vardas209 Pavarde209 4 9 4 5 5 2
Vardas210 Pavarde210 5 6 7 8 6 6
Vardas211 Pavarde211 7 4 5 3 4 4
Vardas212 Pavarde212 7 8 7 3 4 10
Vardas213 Pavarde213 7 9 4 1 1 2
Vardas214 Pavarde214 6 6 7 10 7 2
Vardas215 Pavarde215 2 6 7 8 1 4
Vardas216 Pavarde216 5 3 3 2 6 4
Vardas217 Pavarde217 2 8 4 10 3 7
Vardas218 Pavarde218 4 8 6 5 2 9
Vardas219 Pavarde219 3 2 9 8 9 6
Vardas220 Pavarde220 10 8 8 4 6 10
Vardas221 Pavarde221 3 9 9 4 8 5
Vardas222 Pavarde222 3 4 9 9 6 10
Vardas223 Pavarde223 4 5 9 10 9 5
Vardas224 Pavarde224 3 8 7 1 4 2
Vardas225 Pavarde225 2 3 3 10 4 9
Vardas226 Pavarde226 10 5 1 8 7 1
Vardas227 Pavarde227 3 10 6 2 4 2
Vardas228 Pavarde228 3 6 5 5 10 2
Vardas229 Pavarde229 2 2 6 10 8 4
Vardas230 Pavarde230 9 10 5 5 9 6
Vardas231 Pavarde231 2 8 10 1 2 9
Vardas232 Pavarde232 7 5 7 5 4 10
Vardas233 Pavarde233 1 4 4 8 9 4
Vardas234 Pavarde234 5 4 9 8 9 10
Vardas235 Pavarde235 10 7 1 4 3 8
Vardas236 Pavarde236 10 6 4 1 2 3
Vardas237 Pavarde237 1 1 10 5 7 1
Vardas238 Pavarde238 10 8 2 8 10 8
Vardas239 Pavarde239 1 8 6 3 10 2
Vardas240 Pavarde240 2 10 5 8 10 5
Vardas241 Pavarde241 7 6 5 8 1 9
Vardas242 Pavarde242 6 1 1 4 2 7
Vardas243 Pavarde243 9 10 5 10 8 9
Vardas244 Pavarde244 4 2 3 7 10 9
Vardas245 Pavarde245 7 10 4 10 7 3
Vardas246 Pavarde246 9 6 9 7 7 4
Vardas247 Pavarde247 2 2 10 8 10 2
Vardas248 Pavarde248 7 3 4 5 4 8
Vardas249 Pavarde249 4 2 8 10 3 7
Vardas250 Pavarde250 4 6 4 10 10 8
Vardas251 Pavarde251 5 5 10 6 2 6
Vardas252 Pavarde252 3 1 9 4 9 8
Vardas253 Pavarde253 10 7 6 10 8 10
Vardas254 Pavarde254 2 3 1 4 7 9
Vardas255 Pavarde255 9 4 5 3 4 8
Vardas256 Pavarde256 8 6 10 4 5 4
Vardas257 Pavarde257 9 8 2 8 10 10
Vardas258 Pavarde258 2 10 4 3 5 2
Vardas259 Pavarde259 1 9 1 4 2 10
Vardas260 Pavarde260 1 2 6 8 10 10
Vardas261 Pavarde261 9 6 8 7 7 3
Vardas262 Pavarde262 9 1 9 5 3 9
Vardas263 Pavarde263 5 7 5 6 4 7
Vardas264 Pavarde264 6 1 4 10 10 5
Vardas265 Pavarde265 4 4 10 9 8 1
Vardas266 Pavarde266 1 10 7 1 2 6
Vardas267 Pavarde267 10 9 8 7 1 3
Vardas268 Pavarde268 9 3 6 6 2 8
Vardas269 Pavarde269 3 8 3 7 2 10
Vardas270 Pavarde270 8 3 8 5 1 1
Vardas271 Pavarde271 5 3 4 10 5 7
Vardas272 Pavarde272 9 3 8 3 5 10
Vardas273 Pavarde273 3 5 7 1 9 6
Vardas274 Pavarde274 6 8 9 6 8 5
Vardas275 Pavarde275 10 10 6 6 2 4
Vardas276 Pavarde276 9 6 10 2 4 6
Vardas277 Pavarde277 2 2 5 5 2 10
Vardas278 Pavarde278 8 9 4 1 9 10
Vardas279 Pavarde279 3 6 9 1 8 4
Vardas280 Pavarde280 7 3 10 7 1 1
Vardas281 Pavarde281 4 7 8 2 6 10
Vardas282 Pavarde282 5 10 10 9 2 7
Vardas283 Pavarde283 1 7 3 3 3 6
Vardas284 Pavarde284 1 4 2 2 9 1
Vardas285 Pavarde285 7 9 10 3 3 5
Vardas286 Pavarde286 7 3 4 5 2 2
Vardas287 Pavarde287 6 5 3 10 4 6
Vardas288 Pavarde288 3 2 9 5 7 5
Vardas289 Pavarde289 7 8 6 3 2 3
Vardas290 Pavarde290 9 3 7 3 9 8
Vardas291 Pavarde291 4 8 9 2 6 10
Vardas292 Pavarde292 2 3 1 8 3 4
Vardas293 Pavarde293 4 1 4 3 10 5
Vardas294 Pavarde294 7 10 4 9 7 2
Vardas295 Pavarde295 1 6 6 6 4 5
Vardas296 Pavarde296 9 8 8 1 5 9
Vardas297 Pavarde297 7 8 9 6 9 1
Vardas298 Pavarde298 6 1 10 10 8 8
Vardas299 Pavarde299 10 10 10 4 2 6
Vardas300 Pavarde300 5 7 9 9 10 2
Vardas301 Pavarde301 10 5 6 1 5 9
Vardas302 Pavarde302 8 7 2 3 7 10
Vardas303 Pavarde303 10 7 5 9 9 7
Vardas304 Pavarde304 4 7 10 3 6 10
Vardas305 Pavarde305 2 4 4 4 4 4
Vardas306 Pavarde306 1 9 2 3 5 5
Vardas307 Pavarde307 5 5 5 4 2 7
Vardas308 Pavarde308 3 7 7 4 7 8
Vardas309 Pavarde309 2 7 9 1 5 2
Vardas310 Pavarde310 10 7 8 6 4 2
Vardas311 Pavarde311 10 6 2 5 6 3
Vardas312 Pavarde312 6 5 1 9 6 4
Vardas313 Pavarde313 3 7 2 3 10 4
Vardas314 Pavarde314 1 6 8 8 4 3
Vardas315 Pavarde315 7 10 6 8 5 3
Vardas316 Pavarde316 5 5 7 9 5 1
Vardas317 Pavarde317 4 10 3 4 2 2
Vardas318 Pavarde318 9 10 3 1 4 10
Vardas319 Pavarde319 3 4 9 8 2 3
Vardas320 Pavarde320 1 3 7 7 2 6
Vardas321 Pavarde321 10 10 8 9 7 9
Vardas322 Pavarde322 5 7 9 5 3 6
Vardas323 Pavarde323 3 6 6 9 5 5
Vardas324 Pavarde324 6 8 3 4 5 7
Vardas325 Pavarde325 5 4 3 7 3 9
Vardas326 Pavarde326 10 2 9 6 6 2
Vardas327 Pavarde327 8 7 5 2 5 4
Vardas328 Pavarde328 10 6 1 9 3 4
Vardas329 Pavarde329 3 6 2 6 9 4
Vardas330 Pavarde330 10 3 8 2 3 6
Vardas331 Pavarde331 5 7 2 10 7 9
Vardas332 Pavarde332 9 3 1 3 9 3
Vardas333 Pavarde333 2 3 2 8 6 3
Vardas334 Pavarde334 6 7 5 1 7 3
Vardas335 Pavarde335 3 5 7 1 4 1
Vardas336 Pavarde336 10 7 6 7 5 3
Vardas337 Pavarde337 2 1 3 5 9 6
Vardas338 Pavarde338 8 7 2 9 1 4
Vardas339 Pavarde339 4 1 7 7 5 7
Vardas340 Pavarde340 6 4 6 4 7 7
Vardas341 Pavarde341 2 4 8 4 2 7
Vardas342 Pavarde342 9 4 10 5 2 8
Vardas343 Pavarde343 8 9 5 1 3 4
Vardas344 Pavarde344 10 5 2 8 1 9
Vardas345 Pavarde345 9 1 3 7 5 2
Vardas346 Pavarde346 5 5 6 4 3 8
Vardas347 Pavarde347 8 10 9 3 5 1
Vardas348 Pavarde348 8 8 7 2 10 8
Vardas349 Pavarde349 9 7 6 1 5 5
Vardas350 Pavarde350 1 6 9 6 10 6
Vardas351 Pavarde351 1 8 10 10 4 8
Vardas352 Pavarde352 3 4 3 6 6 2
Vardas353 Pavarde353 1 9 8 3 6 10
Vardas354 Pavarde354 5 2 9 2 8 1
Vardas355 Pavarde355 8 9 9 3 9 1
Vardas356 Pavarde356 8 6 10 1 8 4
Vardas357 Pavarde357 1 1 3 6 2 2
Vardas358 Pavarde358 7 5 1 2 6 3
Vardas359 Pavarde359 7 2 10 9 8 2
Vardas360 Pavarde360 5 9 5 3 2 9
Vardas361 Pavarde361 3 5 5 5 2 7
Vardas362 Pavarde362 7 10 4 1 7 7
Vardas363 Pavarde363 1 6 2 7 4 2
Vardas364 Pavarde364 10 4 6 7 8 5
Vardas365 Pavarde365 4 2 5 1 6 4
Vardas366 Pavarde366 4 3 1 8 1 7
Vardas367 Pavarde367 9 4 2 1 1 7
Vardas368 Pavarde368 2 2 7 3 2 8
Vardas369 Pavarde369 5 5 3 10 7 1
Vardas370 Pavarde370 2 5 1 10 2 9
Vardas371 Pavarde371 6 1 5 3 1 6
Vardas372 Pavarde372 2 4 2 10 10 2
Vardas373 Pavarde373 9 1 7 10 6 4
Vardas374 Pavarde374 10 6 3 10 1 3
Vardas375 Pavarde375 5 2 8 1 4 2
Vardas376 Pavarde376 9 8 6 7 6 6
Vardas377 Pavarde377 6 10 8 9 8 1
Vardas378 Pavarde378 5 6 5 8 10 8
Vardas379 Pavarde379 2 8 8 5 7 7
Vardas380 Pavarde380 3 2 8 6 9 3
Vardas381 Pavarde381 3 5 6 1 8 4
Vardas382 Pavarde382 3 5 5 1 1 7
Vardas383 Pavarde383 2 9 4 1 9 4
Vardas384 Pavarde384 4 4 3 8 8 3
Vardas385 Pavarde385 3 9 10 7 3 3
Vardas386 Pavarde386 2 5 4 9 6 7
Vardas387 Pavarde387 10 8 10 5 3 4
Vardas388 Pavarde388 6 3 10 7 9 7
Vardas389 Pavarde389 5 3 10 8 1 9
Vardas390 Pavarde390 10 8 4 6 3 7
Vardas391 Pavarde391 2 8 9 5 6 6
Vardas392 Pavarde392 5 9 1 1 10 1
Vardas393 Pavarde393 1 3 4 4 2 7
Vardas394 Pavarde394 4 5 7 8 2 9
Vardas395 Pavarde395 3 10 5 6 9 7
Vardas396 Pavarde396 3 7 6 6 5 8
Vardas397 Pavarde397 8 9 8 3 3 7
Vardas398 Pavarde398 7 4 5 5 10 5
Vardas399 Pavarde399 5 3 6 5 7 7
Vardas400 Pavarde400 1 10 5 1 9 2
Vardas401 Pavarde401 5 7 10 8 5 7
Vardas402 Pavarde402 9 10 5 8 9 7
Vardas403 Pavarde403 2 2 10 4 5 6
Vardas404 Pavarde404 5 1 8 1 8 6
Vardas405 Pavarde405 10 6 3 9 3 10
Vardas406 Pavarde406 7 9 3 3 10 8
Vardas407 Pavarde407 2 1 3 10 8 2
Vardas408 Pavarde408 6 6 8 1 4 2
Vardas409 Pavarde409 8 6 1 6 7 9
Vardas410 Pavarde410 9 3 5 2 1 7
Vardas411 Pavarde411 9 7 7 1 10 4
Vardas412 Pavarde412 9 7 7 4 8 8
Vardas413 Pavarde413 4 5 1 7 9 7
Vardas414 Pavarde414 3 7 9 1 1 4
Vardas415 Pavarde415 10 6 10 9 9 8
Vardas416 Pavarde416 5 2 10 4 1 6
Vardas417 Pavarde417 8 7 7 6 2 7
Vardas418 Pavarde418 6 9 5 1 4 3
Vardas419 Pavarde419 4 4 2 10 8 6
Vardas420 Pavarde420 3 5 1 4 2 2
Vardas421 Pavarde421 3 1 6 1 6 7
Vardas422 Pavarde422 1 9 8 4 5 5
Vardas423 Pavarde423 5 5 1 1 10 9
Vardas424 Pavarde424 4 4 5 9 8 1
Vardas425 Pavarde425 2 3 2 4 2 4
Vardas426 Pavarde426 10 4 10 5 5 10
Vardas427 Pavarde427 4 4 2 10 1 6
Vardas428 Pavarde428 6 5 5 3 5 3
Vardas429 Pavarde429 10 8 10 1 9 4
Vardas430 Pavarde430 9 4 10 1 1 3
Vardas431 Pavarde431 1 8 6 6 6 7
Vardas432 Pavarde432 8 7 7 9 4 4
Vardas433 Pavarde433 2 3 9 3 9 8
Vardas434 Pavarde434 6 3 7 7 10 5
Vardas435 Pavarde435 9 1 8 3 10 1
Vardas436 Pavarde436 9 7 10 7 8 8
Vardas437 Pavarde437 8 3 5 5 2 1
Vardas438 Pavarde438 3 2 1 8 7 2
Vardas439 Pavarde439 4 1 5 2 2 10
Vardas440 Pavarde440 5 6 8 10 9 1
Vardas441 Pavarde441 3 8 5 1 1 5
Vardas442 Pavarde442 8 1 8 10 9 8
Vardas443 Pavarde443 3 2 7 7 10 8
Vardas444 Pavarde444 1 10 6 3 8 1
Vardas445 Pavarde445 10 5 3 10 4 10
Vardas446 Pavarde446 9 8 5 10 9 10
Vardas447 Pavarde447 4 10 10 5 8 6
Vardas448 Pavarde448 1 7 6 10 6 2
Vardas449 Pavarde449 5 6 1 5 2 9
Vardas450 Pavarde450 7 7 3 6 9 6
Vardas451 Pavarde451 10 6 8 9 1 7
Vardas452 Pavarde452 1 7 7 9 5 5
Vardas453 Pavarde453 10 7 1 1 2 2
Vardas454 Pavarde454 9 5 6 8 6 5
Vardas455 Pavarde455 10 1 5 6 8 7
Vardas456 Pavarde456 3 3 6 1 9 3
Vardas457 Pavarde457 6 3 7 3 2 10
Vardas458 Pavarde458 10 8 10 9 10 4
Vardas459 Pavarde459 3 5 8 6 7 1
Vardas460 Pavarde460 3 7 5 4 7 3
Vardas461 Pavarde461 3 1 5 9 4 6
Vardas462 Pavarde462 9 8 8 2 3 8
Vardas463 Pavarde463 5 3 2 8 3 9
Vardas464 Pavarde464 3 3 1 3 4 6
Vardas465 Pavarde465 7 3 6 3 10 7
Vardas466 Pavarde466 8 9 9 7 9 8
Vardas467 Pavarde467 3 6 1 9 3 6
Vardas468 Pavarde468 1 4 7 6 3 3
Vardas469 Pavarde469 5 8 7 1 3 1
Vardas470 Pavarde470 7 2 6 8 7 3
Vardas471 Pavarde471 4 5 9 10 3 3
Vardas472 Pavarde472 1 8 4 1 9 1
Vardas473 Pavarde473 3 5 6 5 7 10
Vardas474 Pavarde474 6 1 5 8 7 3
Vardas475 Pavarde475 2 9 8 7 10 6
Vardas476 Pavarde476 9 3 8 4 6 1
Vardas477 Pavarde477 5 9 5 9 3 7
Vardas478 Pavarde478 4 8 1 4 2 8
Vardas479 Pavarde479 8 9 10 9 1 5
Vardas480 Pavarde480 3 6 10 6 9 6
Vardas481 Pavarde481 5 6 6 9 3 10
Vardas482 Pavarde482 8 1 6 3 1 10
Vardas483 Pavarde483 9 6 6 10 10 4
Vardas484 Pavarde484 4 4 5 2 10 1
Vardas485 Pavarde485 10 10 7 3 3 9
Vardas486 Pavarde486 5 7 8 3 1 7
Vardas487 Pavarde487 2 3 6 7 9 3
Vardas488 Pavarde488 7 4 9 9 10 3
Vardas489 Pavarde489 2 8 6 7 1 4
Vardas490 Pavarde490 6 3 4 5 3 9
Vardas491 Pavarde491 8 10 2 2 10 4
Vardas492 Pavarde492 2 6 3 6 9 1
Vardas493 Pavarde493 4 10 7 1 9 9
Vardas494 Pavarde494 6 9 4 5 4 5
Vardas495 Pavarde495 10 5 4 1 9 1
Vardas496 Pavarde496 5 6 9 10 2 3
Vardas497 Pavarde497 7 6 8 2 1 9
Vardas498 Pavarde498 4 2 9 2 1 6
Vardas499 Pavarde499 4 4 1 10 8 2
Vardas500 Pavarde500 3 6 6 6 1 7
Vardas501 Pavarde501 3 10 1 10 2 7
Vardas502 Pavarde502 1 4 6 5 3 3
Vardas503 Pavarde503 7 10 8 7 2 10
Vardas504 Pavarde504 2 7 5 2 7 4
Vardas505 Pavarde505 7 4 9 9 1 1
Vardas506 Pavarde506 8 3 5 5 2 4
Vardas507 Pavarde507 10 8 4 8 3 7
Vardas508 Pavarde508 3 7 5 3 6 5
Vardas509 Pavarde509 6 4 2 3 7 2
Vardas510 Pavarde510 10 5 5 3 7 6
Vardas511 Pavarde511 10 6 3 3 5 6
Vardas512 Pavarde512 8 9 4 6 3 4
Vardas513 Pavarde513 1 6 8 10 5 7
Vardas514 Pavarde514 10 9 5 10 10 9
Vardas515 Pavarde515 2 6 6 7 10 5
Vardas516 Pavarde516 10 1 1 4 2 8
Vardas517 Pavarde517 3 8 10 4 4 8
Vardas518 Pavarde518 4 8 8 9 7 5
Vardas519 Pavarde519 4 3 1 5 1 9
Vardas520 Pavarde520 7 1 9 7 2 5
Vardas521 Pavarde521 8 7 1 6 7 7
Vardas522 Pavarde522 9 9 1 8 10 1
Vardas523 Pavarde523 9 6 8 9 10 2
Vardas524 Pavarde524 2 10 5 9 2 4
Vardas525 Pavarde525 3 8 3 6 2 10
Vardas526 Pavarde526 6 7 8 10 8 3
Vardas527 Pavarde527 9 2 8 8 1 8
Vardas528 Pavarde528 1 6 9 7 5 8
Vardas529 Pavarde529 8 7 6 1 4 1
Vardas530 Pavarde530 10 9 5 4 9 3
Vardas531 Pavarde531 4 3 6 8 6 9
Vardas532 Pavarde532 5 7 3 7 2 10
Vardas533 Pavarde533 7 9 6 8 3 6
Vardas534 Pavarde534 6 7 10 2 7 5
Vardas535 Pavarde535 8 7 10 9 5 6
Vardas536 Pavarde536 7 3 9 6 9 9
Vardas537 Pavarde537 1 1 1 10 7 6
Vardas538 Pavarde538 5 5 5 5 5 1
Vardas539 Pavarde539 4 1 7 7 5 9
Vardas540 Pavarde540 6 5 8 6 6 7
Vardas541 Pavarde541 1 6 4 7 10 7
Vardas542 Pavarde542 9 1 6 7 9 9
Vardas543 Pavarde543 3 3 1 8 6 4
Vardas544 Pavarde544 2 3 10 5 6 9
Vardas545 Pavarde545 5 9 7 5 1 1
Vardas546 Pavarde546 6 4 8 4 10 8
Vardas547 Pavarde547 8 8 9 6 7 9
Vardas548 Pavarde548 2 6 7 9 9 3
Vardas549 Pavarde549 2 7 6 1 4 7
Vardas550 Pavarde550 9 4 2 3 2 7
Vardas551 Pavarde551 10 5 7 9 10 6
Vardas552 Pavarde552 3 5 6 9 3 4
Vardas553 Pavarde553 8 1 3 3 1 4
Vardas554 Pavarde554 10 1 10 4 2 7
Vardas555 Pavarde555 5 2 4 7 1 6
Vardas556 Pavarde556 6 1 8 2 9 5
